Spawns small crates. Set the X of the spawn time to your desired spawn cooldown	[LevelPartGame]
Spec-ops rifle	[WeaponPreset]
Special trigger	[LevelPartGame]
Species: Unknown	[TMPro.TextMeshProUGUI]
Spilt the beans	[ErrorDetector~raw]
Spinning blade that damages anything that touches it	[LevelPartGame]
Sprite Assets/	[TMPro.TMP_Settings]
Stat boosts underwater	[BodyScript]
Steel barrel	[LevelPartGame]
Stench Gun	[WeaponPreset]
Straight pipe	[LevelPartGame]
Stranded On Europa	[MusicClip]
Striped Door	[LevelPartGame]
Strong impacts will\ntemporarily slow\nyou down	[TMPro.TextMeshPro]
Sturdy and resistant	[BodyScript]
SWAP ALPHA	[TMPro.TextMeshProUGUI]
Swim speed: 100%	[TMPro.TextMeshProUGUI]
Swims very fast\n<color="green">Massive stat boosts in water	[MainMenuManager]
Tactical rifle	[WeaponPreset]
Tactical SMG	[WeaponPreset]
Take a look at the top left corner.\n\nThe big number is your health.\nThe smaller number is your stamina.\n\nIf stamina goes below 0, you get K/O'd.	[TMPro.TextMeshPro]
Take a look at the upper left corner.\nThe big number is your health, the smaller, stamina.\nIf stamina goes below 0, you get knocked out.	[TMPro.TextMeshPro]
Take things slowly and carefully. This is a tactical game.	[SceneLoader~raw]
Tanky, but sluggish	[MainMenuManager]
Tanky, with bad weapon handling\n<color="green">Hold CTRL/LMB to spit out cobweb	[MainMenuManager]
Target ID	[TMPro.TextMeshProUGUI]
Target pos	[LevelPartGame]
Teleport zone	[LevelPartGame]
