Tell Orsoniks	[ErrorDetector~raw]
Thank you for\nyour travels!	[TMPro.TextMeshPro]
Thank you for playing.	[TMPro.TextMeshProUGUI]
Thanks to you, our foothold on territory has nearly returned in full, but we are still lacking control of the ground.\nOur enemies are swarming the grounds below our lookout towers where the snow is deep. This will not do.\nA set of military forts built down in the canyon of a mountain and at the base of a lake has caught our attention.\nWe require this to acquire a strong ground foothold, along with the overwatch you have helped us establish.\nThe conjoined forts themselves are unremarkable.\nOne is suspected to be a set of checkpoints, and the other a military vehicle storage.\nBoth buildings will be remarkably useful for building up our forces and containing our weaponry.\nYou know what to do, Assassin. Make it nice and clean, and we'll handle the rest.\n-Y	[MissionSelect]
That yoinkity did not sploink.	[ErrorDetector~raw]
That's gotta hurt...	[ErrorDetector~raw]
The base for all other creatures	[TMPro.TextMeshProUGUI]
The base for almost all other species	[MainMenuManager]
The Chase	[MusicClip]
The Disciple	[MusicClip]
the endless void's\nto the right!	[TMPro.TextMeshPro]
The Engineer	[MusicClip]
The Final Chapter	[MusicClip]
The players spawn point. If there is none, the player spawns at the world origin	[LevelPartGame]
The Possesed One	[MusicClip]
The Ultimate Drug	[MusicClip]
The Wait	[MusicClip]
The Watcher	[MusicClip]
This editor is very, VERY janky and unfinished.\nWhile it works, expect weirdness to happen.\n\nHave fun!	[TMPro.TextMeshProUGUI]
This is a hard prototype\nlevel.\nExpect unfairness.\n\nGood luck!	[TMPro.TextMeshPro]
Throw yourself\nover this wall\nusing levitation.	[TMPro.TextMeshPro]
Throw yourself over\nthis wall using\nlevitation.	[TMPro.TextMeshPro]
Tip of the day:\nPay attention to what's happening at all times!\nCarelesness is what will kill you most of the time.\nDon't show off.	[TMPro.TextMeshProUGUI]
TMP Settings	[TMPro.TMP_Settings]
TMPro.TMP_Text, Unity.TextMeshPro	[UnityEngine.UI.Button]
Toggles whether or not the slow-mo effect plays on kill	[TMPro.TextMeshProUGUI]
Tomfoolery overload	[ErrorDetector~raw]
Total performance:\n100%	[TMPro.TextMeshProUGUI]
