Scream at Orson	[ErrorDetector~raw]
Scroll swapping	[TMPro.TextMeshProUGUI]
Seasonal hats	[TMPro.TextMeshProUGUI]
Secret Door	[LevelPartGame]
Semi-auto shotgun	[WeaponPreset]
Sends an activation signal to all objects with the selected ID when an entity with the selected team enters it. Leave the team blank for all teams	[LevelPartGame]
Serial killer	[TMPro.TextMeshProUGUI]
Sets the target position of all doors with the selected Target ID to the selected position	[LevelPartGame]
Shooting while ragdolled won't get you far. Crouch and get comfortable.	[SceneLoader~raw]
Shotguns are instant kills at point blank range. Beware of them.	[SceneLoader~raw]
Simple camera	[TMPro.TextMeshProUGUI]
Simple Music	[TMPro.TextMeshProUGUI]
Simplifies lighting rendering, minorly improving performance\nRecommended to keep off	[TMPro.TextMeshProUGUI]
Slow fall\nMid-air jumps	[BodyScript]
Slow motion is a good tool for making easy kills and getting out of sticky situations.	[SceneLoader~raw]
Slow reloads\n<color="green">Press W to tongue and grapple	[MainMenuManager]
Small crate	[LevelPartGame]
Smash Orson to death with an anvil	[ErrorDetector~raw]
Smiling face with smiling eyes	[TMPro.TMP_SpriteAsset]
Sneaky entity\nAgile and frail\nHas camouflage	[BodyScript]
Sniper rifle	[WeaponPreset]
Snow setter	[LevelPartGame]
Snowy tile	[LevelPartGame]
SOMEONE CALL THE FIRE DEPARTMENT\nWE JUST NUKED THE BUILDING	[TMPro.TextMeshPro]
Something broke	[ErrorDetector~raw]
Sounds by quicksounds.com\n(and Valve)	[TMPro.TextMeshProUGUI]
Spawn time (X)	[LevelPartGame]
Spawns a weapon. Set the name to your desired weapons name (case insensitive)	[LevelPartGame]
