Door Target Changer	[LevelPartGame]
Drop crates on enemies to kill them silently.	[SceneLoader~raw]
Durable entity\nLess skilled	[BodyScript]
Dying enemies bleed out quickly.	[SceneLoader~raw]
Dying enemies can still hurt you.	[SceneLoader~raw]
Dying lets you \nmind transfer to enemies.	[TMPro.TextMeshPro]
E. O.	[TMPro.TextMeshPro]
E. U.	[TMPro.TextMeshPro]
Emergency lockdown\nACTIVATED	[TMPro.TextMeshPro]
Emergency unlock\nREQUIRED	[TMPro.TextMeshPro]
EMPLOYEE\nPUBLIC ACID BATH	[TMPro.TextMeshPro]
EMPLOYEE\nPUBLIC SAW BATH	[TMPro.TextMeshPro]
End sign	[LevelPartGame]
Enemies look at thrown crates. You can use this as a distraction.	[SceneLoader~raw]
Enemy Turn Around	[LevelPartGame]
Enemy weapon changer	[LevelPartGame]
Error alert! Error alert!	[ErrorDetector~raw]
ErrorDetector, Assembly-CSharp	[UnityEngine.UI.Button]
Every species behaves differently. Beware ones that rush you.	[SceneLoader~raw]
Exception detected	[ErrorDetector~raw]
Exit sign	[LevelPartGame]
Explosive barrel	[LevelPartGame]
Explosives are very deadly, even if they're in a comfy spot. Respect them.	[SceneLoader~raw]
Extremely massive health pool\n<color="green">Extremely strong kicks\n<color="red">No health regeneration	[MainMenuManager]
Face with tears of joy	[TMPro.TMP_SpriteAsset]
Fall on enemies\nto stun them.	[TMPro.TextMeshPro]
Fire is rather harmless when grazed. Don't stay in it for too long.	[SceneLoader~raw]
First proper job. Small outpost, relatively close-by. Only cannon fodder to be found there.\nDo know that they'll be expecting you this time, after that first hit.\nTraining's over, expect some light resistance.\nShouldn't be much, but don't get careless.\n- Z	[MissionSelect]
