UnityEngine.Rendering.DebugUI+Vector3Field, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+Vector4Field, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
Use W,A,S,D to swim.	[TMPro.TextMeshPro]
Vanished Forts	[MissionSelect]
Very agile, but very frail\nCan infinitely chain roll pounces	[MainMenuManager]
Visual Studio Editor Package version 2.0.17 is available, we strongly encourage you to update from the Unity Package Manager for a better Visual Studio integration	[TMPro.TextMeshProUGUI]
Void Gaze	[MusicClip]
Waits the set delay after its ID gets activated, then sends a signal to all objects with the selected Target ID	[LevelPartGame]
Walk over weapons with an ammo\nicon above them to unload get their ammo.\nRemember this.	[TMPro.TextMeshPro]
Wall button. Activates all objects with the same id. Set activate once to 1 to make it a one-time use	[LevelPartGame]
Wall script	[LevelPartGame]
Warning!\nFalling may result in:	[TMPro.TextMeshPro]
WARNING:\n\nLOW OXYGEN LEVELS	[TMPro.TextMeshPro]
Wave your goodbyes\nto this body.	[TMPro.TextMeshPro]
We blew a fuse	[ErrorDetector~raw]
We have secured a route into a water processing plant ran by our opposition.\nTaking control of it will be a serious advantage to our operation.\nThe facility is quite vertical compared to previous outposts.\nWatch where you drop down, we would be highly disappointed if we lose you to falling to your death.\nGet it done.\n- Y	[MissionSelect]
We have uncovered the entrance to an underground refinery under enemy control.\nScouting has shown us it is suffering from water failures, and is partially flooded. This is a good time for you to strike.\nEnter the facility through the opened entrance and clear it out.\nThe refinery is still in full production, and as such crushing hazards are to be alert of.\nEnemy force is estimated to be higher than typical. Another type of enemy has been spotted moving in and out of the facility.\nGet to work.\n- Y	[MissionSelect]
We've been attacking a particular set of outposts, one ontop of a cliff, and one near a lake under the cliffside.\nWith tales of advanced, invaluable technology from the stars located inside, we've sent a raiding party to 'borrow' it, get me?\nWe've prepared the team to go in after you scout the outposts. Pretty please, clear them if possible.\nThe surrounding outposts have been captured, so don't worry about harm to us. Worry about the harm to you.\n- Z	[MissionSelect]
We've recently had eyes on a series of sewer systems that have significant activity in them. It wouldn't be particularly noteworthy...\n...if it wasn't for some seriously messed up energy signals there, erratic pulses at very high signatures.\nWe thought it was issues with our scanner hardware, but it's consistent in that area, nowhere else comes close to it.\nTake a look into the site. Clear out the tunnels, and look into the source of the anomalous energy.\nSeen as it's sewer systems, it'll likely be full of water in alot of areas, so it's very likely they'll have moved some water based species there, so be prepared to get your feet wet.\nStay safe, yeah?\n- Z	[MissionSelect]
Weapon chest	[LevelPartGame]
Weapon knockback can be used to your advantage in movement.	[SceneLoader~raw]
Weapon on spawn	[LevelPartGame]
Weapons with an ammo icon\nabove them have ammo you\ncan pick up inside them.	[TMPro.TextMeshPro]
Weather's looking excessively green, but that's no excuse, we've got another job to do.\nA few outposts around a small water body nearby. Hope you don't mind getting your feet wet.\nThat telekinesis of yours might help to get across the water a little quicker.\nResistance might be ramping up a bit now, take care out there.\n- Z	[MissionSelect]
Weird Technology	[MissionSelect]
WELCOME TO THE\nOBJECT TEST LEVEL	[TMPro.TextMeshPro]
Welcome to the training\nmission!\n\nPress A and D to move.	[TMPro.TextMeshPro]
Welcome.\n\nPress A/D to move.\nProceed to the right.	[TMPro.TextMeshPro]
